@RELATION BugPrediction-unified-class.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE numberOfVersionsUntil NUMERIC
    @ATTRIBUTE numberOfFixesUntil NUMERIC
    @ATTRIBUTE numberOfRefactoringsUntil NUMERIC
    @ATTRIBUTE numberOfAuthorsUntil NUMERIC
    @ATTRIBUTE linesAddedUntil NUMERIC
    @ATTRIBUTE maxLinesAddedUntil NUMERIC
    @ATTRIBUTE avgLinesAddedUntil NUMERIC
    @ATTRIBUTE linesRemovedUntil NUMERIC
    @ATTRIBUTE maxLinesRemovedUntil NUMERIC
    @ATTRIBUTE avgLinesRemovedUntil NUMERIC
    @ATTRIBUTE codeChurnUntil NUMERIC
    @ATTRIBUTE maxCodeChurnUntil NUMERIC
    @ATTRIBUTE avgCodeChurnUntil NUMERIC
    @ATTRIBUTE ageWithRespectTo NUMERIC
    @ATTRIBUTE weightedAgeWithRespectTo NUMERIC
    @ATTRIBUTE cbo NUMERIC
    @ATTRIBUTE dit NUMERIC
    @ATTRIBUTE fanIn NUMERIC
    @ATTRIBUTE fanOut NUMERIC
    @ATTRIBUTE lcom NUMERIC
    @ATTRIBUTE noc NUMERIC
    @ATTRIBUTE numberOfAttributes NUMERIC
    @ATTRIBUTE numberOfAttributesInherited NUMERIC
    @ATTRIBUTE numberOfLinesOfCode NUMERIC
    @ATTRIBUTE numberOfMethods NUMERIC
    @ATTRIBUTE numberOfMethodsInherited NUMERIC
    @ATTRIBUTE numberOfPrivateAttributes NUMERIC
    @ATTRIBUTE numberOfPrivateMethods NUMERIC
    @ATTRIBUTE numberOfPublicAttributes NUMERIC
    @ATTRIBUTE numberOfPublicMethods NUMERIC
    @ATTRIBUTE rfc NUMERIC
    @ATTRIBUTE wmc NUMERIC
    @ATTRIBUTE CvsEntropy NUMERIC
    @ATTRIBUTE CvsWEntropy NUMERIC
    @ATTRIBUTE CvsLinEntropy NUMERIC
    @ATTRIBUTE CvsLogEntropy NUMERIC
    @ATTRIBUTE CvsExpEntropy NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,6,1,1,18,4,8,12,7,20,1,0.666667,160,153,14,0,0.666667,160,0,0,0,0,0,80,243,1,2,1,2,13,0,13,0,13,49,0,13,0,80,243,1,2,1,2,13,0,13,0,13,49,0,13,0,26,5,0,4,332.0,39.0,12.7692,131.0,39.0,5.03846,201.0,39.0,7.73077,175.714,23.7431,7,1,2,5,78,0,1,0,82.0,13.0,8,1,0,0.0,13,46.0,18.0,17.6471,0.0482063,0.142686,8.31741,0.171512,false
    0,0,0,0,0,0,0,0,0,0,0,5,1,3,5,0,5,1,0.757576,75,74,6,0,0.757576,75,0,0,0,0,0,24,71,4,4,4,4,5,0,5,0,5,8,0,5,0,24,71,4,4,4,4,5,0,5,0,5,8,0,5,0,22,6,0,4,192.0,109.0,8.72727,185.0,109.0,8.40909,7.0,5.0,0.318182,367.0,58.026,2,1,2,0,10,0,4,0,18.0,5.0,16,4,0,0.0,5,5.0,5.0,6.70304,0.00429599,0.152618,8.10942,0.231938,false
    0,0,0,0,0,0,0,0,1,4,4,16,6,0,0,7,11,0.25,0.260274,19,14,1,3,0.260274,19,0,0,0,0,0,54,59,2,0,2,0,4,0,3,2,4,33,0,3,2,54,59,2,0,2,0,4,0,3,2,4,33,0,3,2,16,5,0,6,69.0,15.0,4.3125,36.0,7.0,2.25,33.0,14.0,2.0625,252.857,97.1739,7,1,0,7,6,0,2,0,50.0,4.0,0,2,1,0.0,3,28.0,14.0,10.4982,0.00892024,0.148309,8.17678,0.21912,false
    0,0,0,0,0,0,0,0,2,1,1,14,3,5,3,1,11,1,0.851133,263,257,11,0,0.811728,263,0,0,2,2,0,46,308,2,6,2,6,10,2,10,0,10,16,2,10,0,61,323,5,10,2,10,15,2,15,0,15,21,5,15,0,43,10,0,8,485.0,178.0,11.2791,140.0,46.0,3.25581,345.0,132.0,8.02326,320.714,153.406,4,1,3,1,45,1,2,0,69.0,10.0,8,0,0,0.0,10,21.0,13.0,7.05208,0.0275543,0.0139575,0.178617,0.00851947,false
    0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,1,0.864865,32,31,3,0,0.864865,32,0,0,0,0,0,5,27,0,0,0,0,2,0,2,0,2,0,0,2,0,5,27,0,0,0,0,2,0,2,0,2,0,0,2,0,14,4,0,4,55.0,13.0,3.92857,29.0,5.0,2.07143,26.0,9.0,1.85714,328.571,36.6545,1,1,1,0,1,0,0,0,3.0,2.0,8,0,0,0.0,2,2.0,1.0,4.07501,0.00220824,0.0062193,0.097153,0.00103086,false
    0.206642,1,6,2,0.0580475,0.17094,22,20,3,3,3,31,4,3,2,2,17,0.9375,0.684636,254,240,15,1,0.684636,254,1,1,0,0,1,117,379,16,10,5,10,15,5,15,0,26,80,5,15,11,117,379,16,10,5,10,15,5,15,0,26,80,5,15,11,18,4,0,4,599.0,151.0,33.2778,51.0,24.0,2.83333,548.0,151.0,30.4444,169.857,73.1803,3,2,1,2,120,0,5,11,123.0,16.0,18,0,0,0.0,16,43.0,31.0,10.2625,0.0524104,0.171654,8.22522,0.290037,true
    0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,2,1,0.75,27,26,2,0,0.75,27,0,0,0,0,0,9,28,2,0,2,0,2,2,1,0,2,1,2,1,0,9,28,2,0,2,0,2,2,1,0,2,1,2,1,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5714,0,0,1,0,0,1,0,2,0,6.0,2.0,8,0,1,0.0,1,2.0,2.0,0,0,0,0,0,false
    0.260052,17,286,30,0.0458221,0.259067,102,100,1,5,5,104,3,10,40,6,46,0.975,0.824864,1818,1775,39,1,0.824864,1818,1,1,0,0,1,386,2226,70,26,49,20,40,25,39,15,57,190,25,40,24,386,2226,70,26,49,20,40,25,39,15,57,190,25,40,24,51,8,0,10,2071.0,317.0,40.6078,224.0,30.0,4.39216,1847.0,315.0,36.2157,219.857,80.7057,8,2,4,4,780,0,49,20,347.0,40.0,25,22,0,0.0,39,105.0,100.0,20.2197,0.259526,0.183799,8.46014,0.280317,true
    0,0,0,0,0,0,0,0,7,1,1,32,3,20,63,0,15,1,0.751534,245,235,16,0,0.751534,245,0,0,4,4,0,81,305,4,1,4,1,15,0,15,4,15,30,0,15,4,81,305,4,1,4,1,15,0,15,4,15,30,0,15,4,19,4,0,5,243.0,60.0,12.7895,50.0,21.0,2.63158,193.0,60.0,10.1579,219.857,136.486,2,1,2,0,91,3,4,0,79.0,14.0,8,4,0,0.0,14,20.0,30.0,13.4356,0.0592824,0.152499,8.25572,0.234762,false
    0,0,0,0,0,0,0,0,14,0,0,14,2,0,0,0,14,1,0.341969,66,52,15,0,0.341969,66,1,1,0,0,1,127,197,0,0,0,0,14,0,14,0,14,0,0,14,0,127,197,0,0,0,0,14,0,14,0,14,0,0,14,0,21,4,0,8,269.0,195.0,12.8095,229.0,194.0,10.9048,40.0,14.0,1.90476,325.857,146.125,0,1,0,0,91,0,0,0,42.0,14.0,22,0,0,0.0,14,14.0,14.0,5.07933,0.0269101,0.00762499,0.120678,0.00111852,false
