@RELATION Bugcatchers-unified-file.arff

    @ATTRIBUTE McCC NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE DataClumps NUMERIC
    @ATTRIBUTE MessageChains NUMERIC
    @ATTRIBUTE MiddleMan NUMERIC
    @ATTRIBUTE SpeculativeGenerality NUMERIC
    @ATTRIBUTE SwitchStatements NUMERIC
    @ATTRIBUTE MessageChains2 NUMERIC
    @ATTRIBUTE blank NUMERIC
    @ATTRIBUTE comment NUMERIC
    @ATTRIBUTE code NUMERIC
    @ATTRIBUTE codeLines NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    1,0,2,0,4,42,0,0,0,0,0,0,4,33,4,4,true
    1,0,2,0,4,42,0,0,0,0,0,0,4,33,4,4,true
    1,0,2,0,4,55,0,0,0,1,0,0,4,46,4,4,true
    1,0,2,0,6,38,0,0,0,0,0,0,5,26,6,6,true
    1,0,2,0,4,46,0,0,0,1,0,0,4,37,4,4,false
    1,0,2,0,6,40,0,0,0,0,0,0,4,29,6,6,true
    1,0,2,0,4,40,0,0,0,0,0,0,4,31,4,4,true
    2,0,4,0,22,84,0,0,0,0,0,0,10,51,22,22,true
    39,0,10,0,264,525,0,0,0,0,0,0,75,185,264,264,true
    9,0,7,0,64,193,0,0,0,0,0,0,22,106,64,64,true
    2,0,9,0,43,154,0,0,1,0,0,0,16,94,43,43,true
    236,0,11,12,767,1104,0,0,0,1,1,0,76,260,767,767,true
    98,0,8,0,279,400,0,0,0,0,2,0,25,95,279,279,true
    8,0,7,0,55,184,0,0,0,0,0,0,20,108,55,55,true
    18,0,9,0,85,271,0,0,0,0,0,0,21,165,85,85,true
    10,0,0,0,38,123,0,0,0,0,0,0,8,76,38,38,true
    12,0,9,0,83,207,0,2,0,0,0,0,14,110,83,83,false
    20,0,11,0,161,309,0,2,0,0,0,0,21,127,161,161,false
    24,0,14,0,153,387,0,2,0,0,0,0,21,213,153,153,true
    11,0,0,0,61,162,0,0,0,0,0,0,10,90,61,61,true
    1,0,0,0,5,52,0,0,0,1,0,0,3,44,5,5,false
    26,0,15,0,169,365,0,2,0,0,0,0,33,162,169,169,true
    41,0,3,0,242,339,0,0,0,3,0,0,41,55,242,242,false
    81,0,5,78,200,335,0,0,1,0,0,0,89,46,200,200,false
    48,0,8,36,292,428,1,0,1,0,0,0,53,82,292,292,true
    40,0,5,36,119,216,0,0,1,0,0,0,47,49,119,119,false
    149,0,9,137,364,590,0,0,1,4,0,0,155,70,364,364,false
    50,0,7,37,194,330,0,1,1,0,0,0,57,78,194,194,false
    1,0,1,3,21,48,0,1,1,0,0,0,5,21,21,21,false
    7,0,5,0,44,100,0,0,1,0,0,0,10,45,44,44,false
    34,0,11,1,157,313,1,0,0,5,0,0,33,122,157,157,true
    15,0,9,3,263,413,1,0,1,3,0,0,68,81,263,263,true
    26,0,4,11,340,473,1,1,1,3,0,0,71,61,340,340,false
    3,0,0,0,204,457,1,0,1,0,0,0,49,203,204,204,false
    28,0,32,0,247,557,1,3,0,3,0,0,60,249,247,247,false
    1,0,0,0,18,55,0,0,1,0,0,0,6,30,18,18,false
    36,0,0,0,218,389,1,0,0,5,0,0,39,131,218,218,false
    23,0,0,0,176,280,1,0,0,2,1,0,23,80,176,176,false
    33,0,41,0,344,755,1,4,0,0,0,0,62,348,344,344,false
    39,0,0,0,166,245,0,0,0,2,0,0,29,49,166,166,false
    22,0,0,0,173,271,1,1,0,6,1,0,23,74,173,173,false
    34,0,25,0,275,503,0,1,0,3,0,1,54,173,275,275,false
    19,0,1,0,65,101,0,0,1,0,0,0,15,20,65,65,false
    9,0,11,0,127,244,1,1,0,1,0,1,29,87,127,127,false
    7,0,1,0,31,60,0,0,1,0,0,0,9,19,31,31,false
    4,0,8,0,69,192,0,2,1,0,0,0,23,99,69,69,true
    58,0,4,0,202,475,0,0,0,0,0,0,67,205,202,202,true
    1,0,9,0,74,186,0,7,0,0,0,0,20,91,74,74,false
    3,0,4,0,36,117,0,1,0,0,0,0,16,64,36,36,true
    10,0,19,0,184,552,0,0,0,0,0,0,61,306,184,184,true
    4,0,6,0,42,122,0,0,0,0,0,0,11,68,42,42,true
    1,0,5,0,11,87,0,0,0,1,0,0,7,68,11,11,false
    2,0,4,0,20,81,0,0,1,0,0,0,9,51,20,20,true
    1,0,3,0,17,72,0,0,1,0,0,0,9,45,17,17,true
    2,0,4,0,19,82,0,0,1,0,0,0,9,53,19,19,true
    1,0,3,0,18,81,0,0,1,0,0,0,9,53,18,18,true
    2,0,4,0,23,89,0,0,0,0,0,0,9,56,23,23,true
    2,0,0,0,16,57,0,0,0,0,0,0,4,36,16,16,true
    3,0,6,0,44,177,0,0,1,0,0,0,15,117,44,44,true
    2,0,4,0,18,75,0,0,1,0,0,0,8,48,18,18,true
    1,0,3,0,17,72,0,0,1,0,0,0,8,46,17,17,true
    3,0,5,0,28,97,0,0,0,0,0,0,11,57,28,28,true
    3,0,46,0,194,590,0,0,0,1,0,0,58,337,194,194,false
    4,0,4,0,27,107,0,0,1,1,0,0,13,66,27,27,false
    3,0,12,0,93,333,1,0,0,0,0,0,26,213,93,93,false
    15,0,6,0,117,621,0,0,0,24,0,0,26,477,117,117,false
    1,0,8,0,26,146,1,0,1,0,0,0,9,110,26,26,false
    11,0,7,0,85,259,1,0,1,0,0,0,16,157,85,85,false
    6,0,4,0,41,157,0,0,1,0,0,0,12,103,41,41,false
    121,0,52,0,673,1571,1,0,0,0,0,0,97,800,673,673,true
    133,0,31,0,477,1250,0,0,0,0,0,0,66,706,477,477,true
    13,0,3,0,78,152,0,0,0,0,0,0,12,61,78,78,true
    9,0,9,0,60,218,0,0,0,0,0,0,17,140,60,60,true
    57,0,50,0,415,1275,1,0,0,0,0,0,59,800,415,415,false
    11,0,8,0,71,182,0,0,0,1,0,0,12,98,71,71,false
    1,0,3,0,10,57,0,0,1,0,0,0,5,41,10,10,true
    2,0,8,0,31,141,0,0,1,0,0,0,12,97,31,31,true
    10,0,10,0,65,145,0,0,1,0,0,0,13,66,65,65,true
    1,0,2,0,13,92,0,0,1,0,0,0,8,70,13,13,true
    1,0,2,0,11,80,0,0,1,0,0,0,7,61,11,11,true
    5,0,5,0,34,92,0,0,0,0,0,0,8,49,34,34,true
    1,0,2,0,11,73,0,0,1,0,0,0,6,55,11,11,true
    3,0,2,0,16,84,0,0,0,0,0,0,7,60,16,16,true
    1,0,3,0,14,72,0,0,0,3,0,0,7,50,14,14,true
    1,0,2,0,10,60,0,0,1,0,0,0,6,43,10,10,true
    7,0,27,0,110,362,0,0,0,0,0,0,31,220,110,110,true
    1,0,2,0,11,76,0,0,1,0,0,0,7,57,11,11,true
    11,0,9,0,55,170,0,0,0,1,0,0,13,101,55,55,true
    2,0,4,0,17,69,0,0,1,0,0,0,7,44,17,17,true
    8,0,10,0,59,139,0,0,1,0,0,0,13,66,59,59,true
    8,0,6,0,41,125,0,0,0,1,0,0,9,74,41,41,true
    3,0,4,0,20,93,0,0,1,0,0,0,7,65,20,20,true
    8,0,6,0,41,126,0,0,0,1,0,0,9,75,41,41,true
    1,0,3,0,14,72,0,0,0,3,0,0,7,50,14,14,true
    11,0,9,0,56,175,0,0,0,1,0,0,13,105,56,56,true
    11,0,6,0,47,140,0,0,0,0,0,0,14,78,47,47,true
    6,0,10,0,51,176,0,0,1,0,0,0,13,111,51,51,false
    16,0,14,0,123,330,1,0,0,3,0,0,20,186,123,123,false
    14,0,13,0,113,314,1,0,0,3,0,0,19,181,113,113,false
