@RELATION GitHub-unified-class.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,2,1,1,7,1,9,0,4,8,0.25,0.0833333,3,3,1,3,0.0833333,3,0,0,5,5,0,33,39,2,0,2,0,4,0,3,0,4,12,0,3,0,33,39,2,0,2,0,4,0,3,0,4,12,0,3,0,false
    0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0.148936,14,3,1,0,0.142857,14,0,0,0,0,0,80,86,1,0,1,0,1,1,0,0,1,0,1,0,0,84,90,3,0,3,0,1,3,0,0,1,0,3,0,0,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,4,4,2,0,2,0,0,2,0,0,0,0,2,0,0,false
    0,0,0,0,0,0,0,0,5,0,0,5,7,0,0,0,5,0.166667,0.1,3,3,1,5,0.1,3,1,1,0,0,1,27,31,2,0,0,0,5,0,5,0,9,14,0,8,0,27,31,2,0,0,0,5,0,5,0,9,14,0,8,0,false
    0,0,0,0,0,0,0,0,1,0,0,1,5,2,0,2,3,0.5,0.130435,3,3,1,1,0.0576923,3,1,1,0,0,1,20,26,3,0,1,0,1,0,1,0,5,9,0,4,0,49,61,5,4,3,4,6,0,5,0,10,19,0,8,0,false
    0,0,0,0,0,0,0,0,0,1,1,6,3,1,1,1,6,0,0,0,0,0,5,0,0,0,0,0,0,0,29,35,2,4,2,4,5,0,4,0,5,10,0,4,0,29,35,2,4,2,4,5,0,4,0,5,10,0,4,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,7,3,1,2,4,0.5,0.09375,3,3,1,1,0.0491803,3,1,1,0,0,1,29,37,4,0,2,0,2,0,1,0,6,13,0,4,0,58,71,4,4,2,4,7,0,6,0,11,23,0,9,0,true
    0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,false
    0,0,0,0,0,0,0,0,0,1,1,5,3,1,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,25,30,0,4,0,4,4,0,4,0,4,9,0,4,0,25,30,0,4,0,4,4,0,4,0,4,9,0,4,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,8,3,1,3,5,0.5,0.09375,3,3,1,1,0.0428571,3,1,1,0,0,1,29,38,4,0,2,0,2,0,1,0,6,13,0,4,0,67,84,6,4,4,4,7,2,6,0,11,29,2,9,0,true
