@RELATION GitHub-unified-file.arff

    @ATTRIBUTE McCC NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NumberOfCommitters NUMERIC
    @ATTRIBUTE NumberOfDeveloperCommits NUMERIC
    @ATTRIBUTE NumberOfPreviousModifications NUMERIC
    @ATTRIBUTE NumberOfPreviousFixes NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    3,0,1,4,32,49,1,932,1,0,false
    1,0,4,0,7,29,1,932,1,0,false
    9,0,3,3,86,133,1,932,1,0,true
    1,0,3,0,17,49,1,932,1,0,false
    5,0,3,2,47,79,2,1,2,1,true
    2,0,3,0,23,56,1,932,1,0,false
    1,0,3,1,17,40,1,932,1,0,false
    1,0,2,0,4,12,1,932,1,0,false
    1,0,1,1,7,14,1,932,1,0,false
    2,0,1,1,26,38,1,932,1,0,false
    2,0,1,5,36,54,1,932,1,0,true
    7,0,2,3,58,92,1,932,1,0,true
    1,0,6,0,9,32,1,932,1,0,false
    3,0,1,4,48,67,1,932,1,0,false
    3,0,1,6,41,62,1,932,1,0,false
    3,0,1,5,63,85,1,932,1,0,false
    6,0,1,4,68,93,1,932,1,0,false
    4,0,2,5,46,73,1,932,1,0,false
    8,0,1,5,79,106,1,932,1,0,false
    1,0,1,0,11,21,1,932,1,0,false
    4,0,6,0,49,69,1,932,1,0,true
    4,0,0,0,41,60,1,932,1,0,true
    1,0,14,0,128,230,1,932,1,0,true
    27,0,0,0,125,195,1,932,1,0,true
    40,0,20,0,251,485,1,932,1,0,true
    21,0,20,1,204,398,1,932,1,0,true
    1,0,0,0,25,40,1,932,1,0,false
    48,0,0,0,258,320,1,932,1,0,true
    1,0,1,0,4,10,1,932,1,0,false
    4,0,1,2,26,35,1,932,1,0,false
    1,0,5,0,9,28,1,932,1,0,false
    1,0,1,0,15,67,1,932,1,0,false
    1,0,1,4,20,33,1,932,1,0,false
    8,0,5,1,55,95,1,932,1,0,false
    8,0,3,2,46,78,1,932,1,0,true
    1,0,1,0,4,11,1,932,1,0,false
    1,0,1,4,16,32,1,932,1,0,false
    9,0,1,1,22,39,1,932,1,0,false
    1,0,30,0,42,617,1,932,1,0,false
    1,0,28,0,36,551,1,932,1,0,false
    1,0,3,0,13,46,1,932,1,0,false
    74,0,35,15,632,1170,1,932,1,0,false
    1,0,2,0,6,26,1,932,1,0,false
    1,0,1,2,20,33,1,932,1,0,false
    1,0,1,1,11,24,1,932,1,0,false
    2,0,1,2,43,62,1,932,1,0,true
    1,0,1,1,10,17,1,932,1,0,false
    1,0,0,2,23,30,1,932,1,0,true
    5,0,2,0,29,50,1,932,1,0,true
    1,0,1,3,27,42,1,932,1,0,false
    3,0,1,1,19,30,1,932,1,0,false
    4,0,1,6,40,58,1,932,1,0,false
    12,0,4,0,56,99,1,932,1,0,true
    4,0,1,3,39,52,1,932,2,0,false
    1,0,1,1,85,96,1,932,1,0,false
    1,0,1,5,33,43,1,932,1,0,false
    2,0,1,1,60,78,1,932,1,0,false
    2,0,1,6,72,91,1,932,1,0,true
    2,0,1,1,82,104,1,932,1,0,true
    6,0,1,1,117,144,1,932,1,0,false
    1,0,1,1,23,35,1,932,1,0,false
    3,0,1,1,45,61,1,932,1,0,false
    2,0,1,1,52,68,1,932,1,0,false
    6,0,5,0,52,125,1,12,2,1300,false
    40,0,2,4,277,506,2,51,2,1300,false
    1,0,5,0,35,183,0,32,2,1300,true
    1,0,8,0,17,147,1,39,2,1300,false
    4,0,1,4,47,87,0,11,2,1300,false
    16,0,7,16,144,247,0,30,2,1300,false
    3,0,4,0,23,97,0,20,2,1300,false
    1,0,1,4,45,88,0,21,2,1300,false
    58,0,10,19,284,480,0,57,2,1843,true
    1,0,2,0,7,57,0,20,2,1300,false
    9,0,4,20,155,298,0,37,2,1843,false
    4,0,3,2,29,112,0,11,2,1300,false
    12,0,4,1,53,147,0,36,2,1300,false
    1,0,2,0,14,66,0,15,2,1300,false
    38,0,8,0,263,763,1,68,2,1300,false
    9,0,3,3,88,181,0,25,2,1300,false
    3,0,1,6,53,101,1,34,2,1843,false
    1,0,1,1,8,43,0,16,2,1300,false
    1,0,9,0,15,243,0,23,2,1300,false
    1,0,2,1,16,73,0,5,2,1300,false
    23,0,13,27,264,437,0,97,2,1843,false
    3,0,0,7,53,98,0,5,1,1843,false
    3,0,0,6,40,83,1,27,2,1300,false
    24,0,10,0,121,232,0,6,2,1300,false
    1,0,1,4,38,87,0,45,2,1843,false
    67,0,30,33,484,899,0,142,2,1300,false
    28,0,2,6,189,273,0,10,2,1843,false
    34,0,7,16,159,294,0,92,2,1843,false
    6,0,1,5,65,111,0,21,2,1300,false
    4,0,6,3,66,170,0,45,2,1300,false
    10,0,13,14,138,270,0,72,2,1300,true
    18,0,12,16,149,267,0,81,2,1843,false
    1,0,11,0,19,112,0,22,2,1843,false
    1,0,3,0,11,54,0,5,2,1300,false
    1,0,8,0,15,113,0,14,2,1300,false
    1,0,8,0,19,173,0,25,2,1300,false
    58,0,7,27,325,602,0,20,2,1300,false
    30,0,6,10,179,329,0,36,2,1300,false
    28,0,1,17,198,337,0,24,2,1300,false
    1,0,0,7,9,46,0,2,1,1843,false
    11,0,5,5,97,213,0,40,2,1300,false
    14,0,2,12,121,205,0,46,2,1300,false
    35,0,5,32,246,386,0,81,2,1300,false
    2,0,1,9,49,97,0,5,2,1843,false
    125,0,1,3,510,737,2,16,2,1300,false
    108,0,2,8,446,575,2,9,2,1300,false
    2,0,9,5,89,208,1,83,2,1300,false
    4,0,1,14,92,215,1,32,2,1300,false
    1,0,1,0,5,51,0,2,1,1300,false
    1,0,1,1,6,44,0,3,2,1843,false
    1,0,0,7,32,71,0,19,2,1843,false
    12,0,1,8,70,129,0,35,2,1300,false
    1,0,1,5,26,66,0,20,2,1843,false
    1,0,1,1,7,45,0,2,1,1300,false
    1,0,1,1,7,45,0,2,1,1300,false
    1,0,1,1,8,42,0,12,2,1300,false
    1,0,1,0,4,37,0,6,2,1300,false
    1,0,0,1,5,37,0,16,2,1300,false
    1,0,0,8,28,66,0,16,2,1300,false
    1,0,0,6,20,57,0,16,2,1843,false
    27,0,3,2,132,264,0,50,2,1300,false
    8,0,0,9,79,126,0,17,2,1843,false
    76,0,2,12,457,753,1,172,2,1300,true
    1,0,4,0,10,80,0,4,2,1300,false
    15,0,6,2,90,225,0,4,2,1300,false
    1,0,1,0,11,73,0,2,2,1843,false
    3,0,6,3,47,119,0,4,2,1300,false
    4,0,7,2,52,148,0,4,2,1300,false
    4,0,7,2,51,150,0,4,2,1300,false
    3,0,6,3,46,118,0,4,2,1300,false
    1,0,4,3,36,104,0,4,2,1300,false
    1,0,4,3,36,104,0,4,2,1300,false
    3,0,6,3,46,118,0,4,2,1300,false
