    @RELATION Mylyn-3.1-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,2,1,0.75,24,24,3,0,0.75,24,0,0,2,2,0,8,33,4,1,4,1,2,4,2,0,2,0,4,2,0,8,33,4,1,4,1,2,4,2,0,2,0,4,2,0,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0.4,8,8,1,0,0.4,8,0,0,0,0,0,12,19,1,0,1,0,0,1,0,0,0,0,1,0,0,12,19,1,0,1,0,0,1,0,0,0,0,1,0,0,false
    0.332599,2,11,3,0.284553,0.317308,35,33,0,4,2,27,0,6,8,0,4,0.8,0.302013,45,14,4,1,0.302013,45,0,0,0,0,0,104,123,0,4,0,4,4,0,4,0,4,74,0,4,0,104,123,0,4,0,4,4,0,4,0,4,74,0,4,0,false
    0,0,0,0,0,0,0,0,1,2,2,11,3,238,346,3,8,1,0.408451,29,25,3,0,0.408451,29,0,0,0,0,0,42,66,1,1,1,1,5,0,2,0,5,24,0,2,0,42,66,1,1,1,1,5,0,2,0,5,24,0,2,0,false
    0,0,0,0,0,0,0,0,1,0,0,6,3,22,19,1,7,1,0.55,22,22,7,0,0.55,22,0,0,2,3,0,18,44,1,4,1,4,6,0,6,0,6,4,0,6,0,18,44,1,4,1,4,6,0,6,0,6,4,0,6,0,false
    0.505155,8,59,8,0.394366,0.5,28,28,1,2,2,18,0,35,52,0,5,0.333333,0.188406,13,13,2,4,0.188406,13,0,0,0,0,0,56,71,2,2,2,2,5,0,5,0,5,31,0,5,0,56,71,2,2,2,2,5,0,5,0,5,31,0,5,0,false
    0,0,0,0,0,0,0,0,1,7,4,99,3,6,20,7,16,0.857143,0.176113,87,53,6,1,0.219313,134,0,0,0,0,0,407,983,10,0,10,0,9,0,6,0,9,186,0,6,0,477,1114,23,3,23,3,18,4,10,0,18,212,4,10,0,false
    0,0,0,0,0,0,0,0,1,8,7,52,1,7,19,0,16,0.764706,0.217391,70,51,13,4,0.225519,76,0,0,0,0,0,252,334,7,5,7,5,16,0,16,3,16,107,0,16,3,261,347,11,5,11,5,17,4,16,3,17,108,4,16,3,false
    0.348624,1,8,2,0.210526,0.333333,24,24,7,1,1,21,2,26,45,2,10,0.888889,0.287234,27,27,8,1,0.294118,30,0,0,0,0,0,67,107,1,0,1,0,8,1,8,0,8,31,1,8,0,72,114,1,0,1,0,9,1,8,0,9,32,1,8,0,false
    0,0,0,0,0,0,0,0,0,0,0,4,0,6,2,0,4,0.2,0.3,6,6,1,4,0.3,6,0,0,0,0,0,14,20,1,0,1,0,4,0,4,0,4,3,0,4,0,14,20,1,0,1,0,4,0,4,0,4,3,0,4,0,false
    0,0,0,0,0,0,0,0,0,1,1,9,4,7,26,3,9,0.142857,0.111111,4,4,1,6,0.111111,4,1,1,0,0,1,32,43,3,4,2,2,6,0,6,1,10,12,0,10,1,32,43,3,4,2,2,6,0,6,1,10,12,0,10,1,false
    0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,1,1,0.7,7,7,2,0,0.7,7,0,0,3,3,0,3,8,0,0,0,0,1,0,1,0,1,0,0,1,0,3,8,0,0,0,0,1,0,1,0,1,0,0,1,0,false
    0,0,0,0,0,0,0,0,5,8,8,107,15,18,62,25,60,0.92,0.270903,162,125,23,2,0.264182,163,0,0,0,0,0,436,653,14,17,14,17,35,0,24,1,35,232,0,24,1,454,675,14,17,14,17,39,0,28,1,39,238,0,28,1,false
    0,0,0,0,0,0,0,0,1,2,2,3,2,0,0,2,3,0.5,0.190476,4,4,1,1,0.16,4,0,0,0,0,0,17,23,0,0,0,0,1,0,1,0,1,10,0,1,0,21,27,0,0,0,0,2,0,2,0,2,11,0,2,0,false
    0,0,0,0,0,0,0,0,2,1,1,5,1,1,1,1,5,0.5,0.114286,4,4,1,1,0.102564,4,1,1,0,0,1,31,37,20,5,0,1,4,0,1,0,27,18,0,11,2,35,41,20,5,0,1,5,0,2,0,28,19,0,12,2,false
    0,0,0,0,0,0,0,0,8,0,0,8,2,48,15,0,8,1,0.727273,48,48,9,0,0.727273,48,0,0,21,31,0,18,68,0,0,0,0,8,0,8,0,8,0,0,8,0,18,68,0,0,0,0,8,0,8,0,8,0,0,8,0,false
    0,0,0,0,0,0,0,0,0,0,0,15,0,57,71,0,15,0.5625,0.619048,39,39,9,7,0.619048,39,0,0,10,10,0,24,73,1,10,1,10,15,0,15,1,15,3,0,15,1,24,73,1,10,1,10,15,0,15,1,15,3,0,15,1,false
    0,0,0,0,0,0,0,0,0,0,0,7,5,112,239,8,15,0.375,0.314286,11,10,3,5,0.314286,11,0,0,0,0,0,24,39,1,7,1,7,7,1,7,0,7,7,1,7,0,24,39,1,7,1,7,7,1,7,0,7,7,1,7,0,false
    0,0,0,0,0,0,0,0,1,2,2,5,3,3,3,2,3,0.5,0.26087,6,6,1,1,0.26087,6,0,0,0,0,0,17,18,0,0,0,0,1,0,1,0,1,10,0,1,0,17,18,0,0,0,0,1,0,1,0,1,10,0,1,0,false
    0,0,0,0,0,0,0,0,1,3,3,20,7,1,0,7,11,0.25,0.0934579,10,5,1,3,0.0934579,10,1,1,0,0,1,97,111,0,0,0,0,4,0,3,0,4,64,0,3,0,97,111,0,0,0,0,4,0,3,0,4,64,0,3,0,false
