    @RELATION PDE_UI-3.4.1-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,9,2,30,52,0,8,1,0.59375,57,57,9,0,0.59375,57,1,1,1,1,1,39,99,10,6,6,6,8,0,8,0,8,16,4,8,0,39,99,10,6,6,6,8,0,8,0,8,16,4,8,0,true
    0,0,0,0,0,0,0,0,1,3,3,28,1,33,39,2,12,1,0.517442,89,89,10,0,0.517442,89,0,0,1,1,0,83,178,3,7,3,7,10,0,9,0,10,57,0,9,0,83,178,3,7,3,7,10,0,9,0,10,57,0,9,0,false
    0,0,0,0,0,0,0,0,4,0,0,10,4,153,246,8,18,1,0.801242,129,129,11,0,0.801242,129,0,0,0,0,0,32,159,0,6,0,6,10,0,10,0,10,10,0,10,0,32,159,0,6,0,6,10,0,10,0,10,10,0,10,0,false
    0,0,0,0,0,0,0,0,1,2,2,23,5,49,75,8,21,1,0.645,129,122,13,0,0.645,129,0,0,0,0,0,71,196,5,12,5,12,13,0,12,0,13,35,0,12,0,71,196,5,12,5,12,13,0,12,0,13,35,0,12,0,true
    0,0,0,0,0,0,0,0,5,2,2,29,8,31,93,4,26,0.0526316,0.0645161,6,5,1,18,0.0645161,6,2,4,7,35,2,87,121,6,5,6,5,22,0,18,2,27,36,0,23,2,87,121,6,5,6,5,22,0,18,2,27,36,0,23,2,false
    0,0,0,0,0,0,0,0,1,1,1,7,2,8,10,1,6,0,0.0416667,1,0,0,5,0.0416667,1,0,0,2,4,0,23,31,1,0,1,0,5,0,4,0,5,10,0,4,0,23,31,1,0,1,0,5,0,4,0,5,10,0,4,0,false
    0,0,0,0,0,0,0,0,1,1,1,13,2,9,9,4,10,0,0.0285714,1,0,0,6,0.0285714,1,3,5,4,20,1,34,44,8,8,2,3,6,0,5,0,33,17,0,28,2,34,44,8,8,2,3,6,0,5,0,33,17,0,28,2,false
    0,0,0,0,0,0,0,0,6,2,2,15,4,4,6,0,10,0.625,0.271429,19,15,5,3,0.294521,43,0,0,0,0,0,51,84,3,3,3,3,10,1,7,0,10,23,1,7,0,103,166,3,3,3,3,18,1,15,0,18,50,1,15,0,true
    0,0,0,0,0,0,0,0,1,8,8,38,10,2,7,8,16,1,0.371287,75,69,7,0,0.338912,81,0,0,0,0,0,127,208,1,5,1,5,8,0,6,1,8,88,0,6,1,158,243,3,5,3,5,12,0,10,1,12,104,0,10,1,true
    0,0,0,0,0,0,0,0,1,2,2,12,2,1,5,2,8,0,0.0222222,1,0,0,7,0.0222222,1,0,0,0,0,0,44,53,4,2,4,2,6,0,6,0,6,27,0,6,0,44,53,4,2,4,2,6,0,6,0,6,27,0,6,0,false
    0,0,0,0,0,0,0,0,2,5,4,79,14,7,7,20,38,0.333333,0.185185,55,42,3,6,0.185185,55,0,0,0,0,0,242,324,4,5,4,5,18,0,8,5,18,173,0,8,5,242,324,4,5,4,5,18,0,8,5,18,173,0,8,5,false
    0.131917,2,14,4,0.157895,0.162338,54,50,1,7,7,103,18,7,7,18,29,0.25,0.0941176,32,4,1,3,0.0941176,32,0,0,0,0,0,308,342,1,7,1,7,11,0,3,0,11,243,0,3,0,308,342,1,7,1,7,11,0,3,0,11,243,0,3,0,false
    0,0,0,0,0,0,0,0,5,3,3,59,24,21,40,28,45,0,0.112994,20,0,0,13,0.112994,20,0,0,0,0,0,157,182,0,5,0,5,17,0,12,0,17,105,0,12,0,157,182,0,5,0,5,17,0,12,0,17,105,0,12,0,false
    0,0,0,0,0,0,0,0,1,4,4,31,7,5,5,7,14,0.8,0.214953,23,20,4,1,0.214953,23,0,0,0,0,0,84,115,0,6,0,6,7,0,4,0,7,73,0,4,0,84,115,0,6,0,6,7,0,4,0,7,73,0,4,0,true
    0,0,0,0,0,0,0,0,1,1,1,3,2,1,1,1,3,0.333333,0.222222,4,3,1,2,0.222222,4,0,0,0,0,0,14,20,1,0,1,0,2,1,2,0,2,5,1,2,0,14,20,1,0,1,0,2,1,2,0,2,5,1,2,0,true
    0,0,0,0,0,0,0,0,1,9,3,41,0,5,5,0,8,0,0.194444,28,4,0,4,0.194444,28,0,0,0,0,0,116,139,16,3,16,3,8,0,3,0,8,72,0,3,0,116,139,16,3,16,3,8,0,3,0,8,72,0,3,0,false
    0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,5,0,0,0,0,0,6,0,0,1,1,0,0,1,24,31,7,4,4,4,5,0,5,0,5,8,3,5,0,24,31,7,4,4,4,5,0,5,0,5,8,3,5,0,false
    0,0,0,0,0,0,0,0,1,3,3,47,13,3,5,11,29,0,0.0838323,14,9,0,11,0.0838323,14,0,0,0,0,0,153,190,4,2,4,2,18,0,10,0,18,95,0,10,0,153,190,4,2,4,2,18,0,10,0,18,95,0,10,0,true
    0,0,0,0,0,0,0,0,0,2,2,6,3,2,0,4,8,0.8,0.410256,16,16,4,1,0.410256,16,0,0,0,0,0,23,44,1,4,1,4,4,0,4,0,4,9,0,4,0,23,44,1,4,1,4,4,0,4,0,4,9,0,4,0,false
    0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,0.5,0.285714,4,4,1,1,0.285714,4,0,0,0,0,0,10,18,1,0,1,0,1,0,1,0,1,3,0,1,0,10,18,1,0,1,0,1,0,1,0,1,3,0,1,0,false
