@RELATION PROMISE-unified-class.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE wmc NUMERIC
    @ATTRIBUTE dit NUMERIC
    @ATTRIBUTE noc NUMERIC
    @ATTRIBUTE cbo NUMERIC
    @ATTRIBUTE rfc NUMERIC
    @ATTRIBUTE lcom NUMERIC
    @ATTRIBUTE ca NUMERIC
    @ATTRIBUTE ce NUMERIC
    @ATTRIBUTE npm NUMERIC
    @ATTRIBUTE lcom3 NUMERIC
    @ATTRIBUTE loc NUMERIC
    @ATTRIBUTE dam NUMERIC
    @ATTRIBUTE moa NUMERIC
    @ATTRIBUTE mfa NUMERIC
    @ATTRIBUTE cam NUMERIC
    @ATTRIBUTE ic NUMERIC
    @ATTRIBUTE cbm NUMERIC
    @ATTRIBUTE amc NUMERIC
    @ATTRIBUTE max_cc NUMERIC
    @ATTRIBUTE avg_cc NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0.0750552,1,4,2,0.0445434,0.0695652,20,16,1,5,5,49,2,10,11,4,19,1,0.436274,178,165,10,0,0.436274,178,0,0,0,0,0,230,449,9,4,9,4,15,0,9,1,15,124,0,9,1,230,449,9,4,9,4,15,0,9,1,15,124,0,9,1,17,2,0,9,64,76,7,2,9,0.879166667,713,0.6,2,0.708333333,0.339285714,1,3,40.05882353,9,1.4118,true
    0,0,0,0,0,0,0,0,0,0,0,11,3,16,28,3,14,0.75,0.463158,44,44,9,3,0.463158,44,0,0,0,0,0,51,107,6,6,6,6,11,0,11,2,11,21,0,11,2,51,107,6,6,6,6,11,0,11,2,11,21,0,11,2,11,2,0,7,15,13,5,3,11,0.75,97,1,3,0.2,0.220779221,0,0,7.272727273,1,0.7273,false
    0,0,0,0,0,0,0,0,1,1,1,16,1,183,279,1,15,0.866667,0.470588,56,56,13,2,0.470588,56,0,0,0,0,0,63,130,2,2,2,2,14,0,14,1,14,27,0,14,1,63,130,2,2,2,2,14,0,14,1,14,27,0,14,1,14,4,0,99,28,0,98,1,14,0.384615385,153,1,1,0.65,0.333333333,1,2,9.785714286,2,0.6429,false
    0,0,0,0,0,0,0,0,0,0,0,7,1,14,7,0,7,1,0.830189,44,44,8,0,0.830189,44,0,0,7,10,0,9,54,0,0,0,0,7,0,7,0,7,0,0,7,0,9,54,0,0,0,0,7,0,7,0,7,0,0,7,0,7,1,0,6,7,21,5,1,7,2,7,0,0,0,1,0,0,0,1,1,false
    0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,4,1,0.857143,36,36,5,0,0.857143,36,1,1,1,2,1,6,38,0,0,0,0,4,0,4,4,11,0,0,11,4,6,38,0,0,0,0,4,0,4,4,11,0,0,11,4,4,1,0,3,4,6,2,1,4,2,4,0,0,0,0.5,0,0,0,1,1,false
    0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.714286,5,5,1,0,0.714286,5,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,false
    0.220238,1,5,1,0.122302,0.189189,17,14,4,4,4,23,5,4,5,7,19,0.5,0.362069,42,39,6,6,0.362069,42,2,2,1,1,1,74,139,7,0,7,0,12,0,11,4,12,30,0,11,4,74,139,7,0,7,0,12,0,11,4,12,30,0,11,4,14,1,1,8,32,49,4,4,12,0.835164835,257,1,0,0,0.307692308,0,0,16.85714286,6,1.6429,true
    0,0,0,0,0,0,0,0,1,1,1,8,0,0,0,0,1,1,0.512195,21,10,2,0,0.512195,21,0,0,0,0,0,20,44,0,0,0,0,1,0,1,0,1,11,0,1,0,20,44,0,0,0,0,1,0,1,0,1,11,0,1,0,2,1,0,0,6,1,0,0,2,2,45,0,0,0,0.666666667,0,0,21.5,8,4,false
    0.58235,10,95,16,0.362864,0.550847,299,260,1,5,5,136,2,37,38,1,23,1,0.411471,330,283,15,0,0.411471,330,1,1,3,3,1,472,824,11,7,11,7,22,0,14,4,22,353,0,14,4,472,824,11,7,11,7,22,0,14,4,22,353,0,14,4,23,1,1,22,51,181,20,2,14,0.731404959,1407,1,0,0,0.290909091,0,0,59.69565217,35,5.8696,false
    0,0,0,0,0,0,0,0,0,0,0,13,0,4,6,0,13,1,0.846939,83,83,14,0,0.846939,83,0,0,1,4,0,15,94,0,7,0,7,13,0,13,4,13,0,0,13,4,15,94,0,7,0,7,13,0,13,4,13,0,0,13,4,13,1,0,4,13,78,4,0,13,2,13,0,0,0,0.326923077,0,0,0,1,1,false
