    @RELATION lucene-2.4-OSA.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,3,0.333333,0.434783,10,10,1,2,0.434783,10,0,0,0,0,0,13,16,0,2,0,2,3,0,2,0,3,2,0,2,0,13,16,0,2,0,2,3,0,2,0,3,2,0,2,0,false
    0,0,0,0,0,0,0,0,1,6,6,48,20,1,2,40,53,0.333333,0.160643,40,20,3,6,0.160784,41,0,0,0,0,0,209,276,8,2,8,2,13,0,8,0,13,158,0,8,0,214,281,8,2,8,2,14,0,9,0,14,161,0,9,0,false
    0,0,0,0,0,0,0,0,1,3,3,46,3,0,0,7,21,0.666667,0.196721,48,27,2,1,0.193916,51,0,0,0,0,0,196,255,19,2,19,2,14,1,2,0,14,119,1,2,0,212,277,24,2,24,2,16,1,3,0,16,124,1,3,0,false
    0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0.76,19,18,2,0,0.76,19,0,0,0,0,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,false
    0,0,0,0,0,0,0,0,1,0,0,5,1,155,71,0,5,1,0.679245,36,36,4,0,0.679245,36,0,0,48,48,0,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,true
    0,0,0,0,0,0,0,0,1,1,1,8,3,7,15,3,7,0.25,0.302326,13,10,1,3,0.302326,13,2,2,0,0,1,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,true
    0,0,0,0,0,0,0,0,2,3,3,59,1,6,9,1,20,0.615385,0.183486,40,38,8,5,0.180723,45,0,0,0,0,0,178,220,4,4,4,4,19,0,12,0,19,127,0,12,0,204,254,6,4,6,4,25,0,16,0,25,138,0,16,0,true
    0,0,0,0,0,0,0,0,1,4,4,14,2,4,6,8,13,0.25,0.205882,14,8,1,3,0.205882,14,2,2,3,4,1,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,true
    0.676385,9,232,28,0.628319,0.720812,142,142,1,3,3,84,3,2,2,5,8,0.5,0.366559,114,26,2,2,0.366559,114,2,2,0,0,1,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,false
    0,0,0,0,0,0,0,0,2,1,1,3,4,4,0,4,6,0.333333,0.2,4,4,1,2,0.2,4,1,1,0,0,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,false
